Model,Mode,Prompt,Condition,Attempts,Best score,Best passed,Execution
deepseek-coder_6.7b,basic,C001_static_burned_area,initial,1,0.250,1/4,False
deepseek-coder_6.7b,basic,C001_static_burned_area,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
deepseek-coder_6.7b,basic,C002_static_number_fires,initial,1,0.250,1/4,False
deepseek-coder_6.7b,basic,C002_static_number_fires,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
deepseek-coder_6.7b,basic,C003_static_full_layout,initial,1,0.167,1/6,False
deepseek-coder_6.7b,basic,C003_static_full_layout,repair_by_qwen2.5-coder_32b,1,1.000,6/6,True
deepseek-coder_6.7b,basic,C004_missing_crs_repair,initial,1,0.286,2/7,False
deepseek-coder_6.7b,basic,C004_missing_crs_repair,repair_by_qwen2.5-coder_32b,1,0.571,4/7,False
deepseek-coder_6.7b,basic,C005_geometry_repair,initial,1,0.143,1/7,False
deepseek-coder_6.7b,basic,C005_geometry_repair,repair_by_qwen2.5-coder_32b,1,1.000,7/7,True
deepseek-coder_6.7b,basic,C006_join_diagnostics,initial,1,0.167,1/6,False
deepseek-coder_6.7b,basic,C006_join_diagnostics,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
deepseek-coder_6.7b,basic,C007_wrong_column_guard,initial,1,0.000,0/5,False
deepseek-coder_6.7b,basic,C007_wrong_column_guard,repair_by_qwen2.5-coder_32b,1,0.600,3/5,False
deepseek-coder_6.7b,basic,C008_quantile_classes,initial,1,0.000,0/5,False
deepseek-coder_6.7b,basic,C008_quantile_classes,repair_by_qwen2.5-coder_32b,1,0.400,2/5,False
deepseek-coder_6.7b,basic,C009_colorblind_safe,initial,1,0.000,0/6,False
deepseek-coder_6.7b,basic,C009_colorblind_safe,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
deepseek-coder_6.7b,basic,C010_interactive_tooltips,initial,1,0.500,2/4,True
deepseek-coder_6.7b,basic,C010_interactive_tooltips,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
deepseek-coder_6.7b,rules,C001_static_burned_area,initial,1,0.500,2/4,False
deepseek-coder_6.7b,rules,C001_static_burned_area,repair_by_qwen2.5-coder_32b,1,1.000,4/4,True
deepseek-coder_6.7b,rules,C002_static_number_fires,initial,1,0.500,2/4,False
deepseek-coder_6.7b,rules,C002_static_number_fires,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
deepseek-coder_6.7b,rules,C003_static_full_layout,initial,1,0.833,5/6,True
deepseek-coder_6.7b,rules,C003_static_full_layout,repair_by_qwen2.5-coder_32b,1,0.833,5/6,True
deepseek-coder_6.7b,rules,C004_missing_crs_repair,initial,1,0.571,4/7,False
deepseek-coder_6.7b,rules,C004_missing_crs_repair,repair_by_qwen2.5-coder_32b,1,0.571,4/7,False
deepseek-coder_6.7b,rules,C005_geometry_repair,initial,1,0.571,4/7,False
deepseek-coder_6.7b,rules,C005_geometry_repair,repair_by_qwen2.5-coder_32b,1,0.714,5/7,False
deepseek-coder_6.7b,rules,C006_join_diagnostics,initial,1,0.500,3/6,False
deepseek-coder_6.7b,rules,C006_join_diagnostics,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
deepseek-coder_6.7b,rules,C007_wrong_column_guard,initial,1,0.400,2/5,False
deepseek-coder_6.7b,rules,C007_wrong_column_guard,repair_by_qwen2.5-coder_32b,1,1.000,5/5,True
deepseek-coder_6.7b,rules,C008_quantile_classes,initial,1,0.400,2/5,False
deepseek-coder_6.7b,rules,C008_quantile_classes,repair_by_qwen2.5-coder_32b,1,0.400,2/5,False
deepseek-coder_6.7b,rules,C009_colorblind_safe,initial,1,0.500,3/6,False
deepseek-coder_6.7b,rules,C009_colorblind_safe,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
deepseek-coder_6.7b,rules,C010_interactive_tooltips,initial,1,0.500,2/4,False
deepseek-coder_6.7b,rules,C010_interactive_tooltips,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
deepseek-coder_6.7b,rules,C011_static_and_interactive,initial,1,0.333,2/6,False
deepseek-coder_6.7b,rules,C011_static_and_interactive,repair_by_qwen2.5-coder_32b,1,0.333,2/6,False
deepseek-coder_6.7b,rules,C012_time_series_report,initial,1,0.400,2/5,False
deepseek-coder_6.7b,rules,C012_time_series_report,repair_by_qwen2.5-coder_32b,1,0.400,2/5,False
qwen2.5-coder_7b,basic,C001_static_burned_area,initial,1,0.000,0/4,False
qwen2.5-coder_7b,basic,C001_static_burned_area,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
qwen2.5-coder_7b,basic,C001_static_burned_area,repair_by_qwen2.5-coder_7b,3,0.500,2/4,False
qwen2.5-coder_7b,basic,C002_static_number_fires,initial,1,0.250,1/4,False
qwen2.5-coder_7b,basic,C002_static_number_fires,repair_by_qwen2.5-coder_32b,1,1.000,4/4,True
qwen2.5-coder_7b,basic,C002_static_number_fires,repair_by_qwen2.5-coder_7b,3,0.500,2/4,False
qwen2.5-coder_7b,basic,C003_static_full_layout,initial,1,0.167,1/6,False
qwen2.5-coder_7b,basic,C003_static_full_layout,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
qwen2.5-coder_7b,basic,C003_static_full_layout,repair_by_qwen2.5-coder_7b,3,0.500,3/6,False
qwen2.5-coder_7b,basic,C004_missing_crs_repair,initial,1,0.143,1/7,False
qwen2.5-coder_7b,basic,C004_missing_crs_repair,repair_by_qwen2.5-coder_32b,1,0.571,4/7,False
qwen2.5-coder_7b,basic,C005_geometry_repair,initial,1,0.143,1/7,False
qwen2.5-coder_7b,basic,C005_geometry_repair,repair_by_qwen2.5-coder_32b,1,0.571,4/7,False
qwen2.5-coder_7b,basic,C006_join_diagnostics,initial,1,0.000,0/6,False
qwen2.5-coder_7b,basic,C006_join_diagnostics,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
qwen2.5-coder_7b,basic,C007_wrong_column_guard,initial,1,0.000,0/5,False
qwen2.5-coder_7b,basic,C007_wrong_column_guard,repair_by_qwen2.5-coder_32b,1,0.600,3/5,False
qwen2.5-coder_7b,basic,C008_quantile_classes,initial,1,0.000,0/5,False
qwen2.5-coder_7b,basic,C008_quantile_classes,repair_by_qwen2.5-coder_32b,1,0.400,2/5,False
qwen2.5-coder_7b,basic,C009_colorblind_safe,initial,1,0.000,0/6,False
qwen2.5-coder_7b,basic,C009_colorblind_safe,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
qwen2.5-coder_7b,basic,C010_interactive_tooltips,initial,1,0.000,0/4,False
qwen2.5-coder_7b,basic,C010_interactive_tooltips,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
qwen2.5-coder_7b,basic,C011_static_and_interactive,initial,1,0.000,0/6,False
qwen2.5-coder_7b,basic,C011_static_and_interactive,repair_by_qwen2.5-coder_32b,1,0.333,2/6,False
qwen2.5-coder_7b,basic,C012_time_series_report,initial,1,0.000,0/5,False
qwen2.5-coder_7b,basic,C012_time_series_report,repair_by_qwen2.5-coder_32b,1,0.400,2/5,False
qwen2.5-coder_7b,rules,C001_static_burned_area,initial,1,0.500,2/4,False
qwen2.5-coder_7b,rules,C001_static_burned_area,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
qwen2.5-coder_7b,rules,C001_static_burned_area,repair_by_qwen2.5-coder_7b,1,0.500,2/4,False
qwen2.5-coder_7b,rules,C002_static_number_fires,initial,1,0.500,2/4,False
qwen2.5-coder_7b,rules,C002_static_number_fires,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
qwen2.5-coder_7b,rules,C002_static_number_fires,repair_by_qwen2.5-coder_7b,1,0.500,2/4,False
qwen2.5-coder_7b,rules,C003_static_full_layout,initial,1,0.500,3/6,False
qwen2.5-coder_7b,rules,C003_static_full_layout,repair_by_qwen2.5-coder_32b,1,1.000,6/6,True
qwen2.5-coder_7b,rules,C003_static_full_layout,repair_by_qwen2.5-coder_7b,1,0.500,3/6,False
qwen2.5-coder_7b,rules,C004_missing_crs_repair,initial,1,0.571,4/7,False
qwen2.5-coder_7b,rules,C004_missing_crs_repair,repair_by_qwen2.5-coder_32b,1,0.571,4/7,False
qwen2.5-coder_7b,rules,C005_geometry_repair,initial,1,0.571,4/7,False
qwen2.5-coder_7b,rules,C005_geometry_repair,repair_by_qwen2.5-coder_32b,1,0.571,4/7,False
qwen2.5-coder_7b,rules,C006_join_diagnostics,initial,1,0.500,3/6,False
qwen2.5-coder_7b,rules,C006_join_diagnostics,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
qwen2.5-coder_7b,rules,C007_wrong_column_guard,initial,1,0.600,3/5,False
qwen2.5-coder_7b,rules,C007_wrong_column_guard,repair_by_qwen2.5-coder_32b,1,0.600,3/5,False
qwen2.5-coder_7b,rules,C008_quantile_classes,initial,1,0.400,2/5,False
qwen2.5-coder_7b,rules,C008_quantile_classes,repair_by_qwen2.5-coder_32b,1,0.400,2/5,False
qwen2.5-coder_7b,rules,C009_colorblind_safe,initial,1,0.500,3/6,False
qwen2.5-coder_7b,rules,C009_colorblind_safe,repair_by_qwen2.5-coder_32b,1,0.500,3/6,False
qwen2.5-coder_7b,rules,C010_interactive_tooltips,initial,1,0.500,2/4,False
qwen2.5-coder_7b,rules,C010_interactive_tooltips,repair_by_qwen2.5-coder_32b,1,0.500,2/4,False
qwen2.5-coder_7b,rules,C011_static_and_interactive,initial,1,0.333,2/6,False
qwen2.5-coder_7b,rules,C011_static_and_interactive,repair_by_qwen2.5-coder_32b,1,0.333,2/6,False
