paper,paradigm,claimed_or_reported_artifact,claimed_or_reported_scale,local_data_available,local_code_available,local_weights_available,reproducibility_status,notes
Affolter et al. 2025,controlled diffusion mapmaking,Swisstopo/vector-guided map tiles and ControlNet-style workflow,"296495 training tiles reported in survey notes; 100 test tiles per style",no,partial,no,not_reproducible_locally,"Related code template is local in data/repos/generative-ai-mapmaking, but original controlled data are not local."
Sun et al. 2025 SCGM,remote-sensing-to-map diffusion,CSCMG multi-scale RS-to-map tile dataset,"local train 135572 RS/map pairs; val 1473 RS/map pairs; cascade references incomplete",yes,yes,unknown,partially_reproducible,"Base pairs are complete locally; ref_scale_2/ref_scale_4 coverage is smaller than base pair count."
Zhang et al. 2025 MapGenerator,text-to-map diffusion,MGTrain and MGEval image-description pairs,"paper notes report 1000 train and 100 eval; local release has 750 train and 100 eval",yes,yes,unknown,partially_reproducible,"Full PDF not cleanly downloaded; release-count discrepancy should be verified against final paper."
Pannoon and Netek 2025,LLM-generated choropleth code maps,ChatGPT-4 generated static/interactive choropleth materials,"local repo has 33 PNG maps, 10 HTML maps, 20 notebooks, choropleth data",yes,yes,not_applicable,mostly_reproducible_as_artifact_audit,"Original ChatGPT model/version is not frozen; outputs and data are locally auditable."
Wang et al. 2025 CartoAgent,multimodal map style agent,Mapbox/style-transfer agent experiments,"human evaluation with 17 experts/students reported in survey notes",no,no,no,not_reproducible_locally,"Use as conceptual comparison for style-agent paradigm; no local dataset."
Song et al. 2025 LLM VGI mapping,LLM GIS/tool agent,OSM/VGI mapmaking case studies,"qualitative case studies: Beijing/Wuhan and thematic examples",no,no,no,not_reproducible_locally,"Useful for motivating VGI-agent evaluation; no local benchmark artifact."
Li and Ning et al. 2025 Autonomous GIS,LLM GIS/cartography agent agenda,LLM-Cat and autonomous GIS proof-of-concept,"research agenda plus prototype cases",no,no,no,not_reproducible_locally,"Use for framing workflow-aware vs result-aware agents."
Yang et al. 2025 MapColorAI,LLM map design subtask,choropleth color scheme design system,"user study with 60 participants reported in survey notes",no,no,no,not_reproducible_locally,"Use as color-design subtask reference."
Shomer and Xu 2025 MAPLE,label-placement LLM benchmark,MAPLE label placement benchmark,"883 train, 126 validation, 267 test landmarks reported in survey notes",no,no,no,not_reproducible_locally,"Use as label-placement subtask reference; dataset not local."
Burghardt et al. 2025,pictorial map generation,neural style transfer / LoRA pictorial map elements,"short abstract/prototype-level evidence",no,no,no,not_reproducible_locally,"Use as pictorial-symbol/style reference."
