split,image,word_count,named_feature_count,heuristic_quality_flags,caption_mentions_water,caption_mentions_green,caption_mentions_road,caption_has_relation,blue_ratio,green_ratio,dark_ratio,bright_low_sat_ratio,edge_mean,proxy_issues,proxy_strengths,review_severity,proxy_fidelity_score,description
MGEval,16_1253.jpg,51,2,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.0031,0.9227,0.0,0.0778,9.806,generic_no_feature_claim_needs_visual_review;road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.690,"The google map shows a location marked as ""Caldwell Sash Company"" situated along Scottsville Road. The road appears to run diagonally across the map. The surrounding area is shaded in green, indicating a likely rural or undeveloped region. There are no additional geographic entities or landmarks visible on this map section."
MGEval,16_2274.jpg,42,0,no_named_feature;no_direction_or_relation,True,True,False,False,0.8569,0.0727,0.0001,0.0458,7.057,,water_signal_consistent,low,1.000,"The google map shows a section of the border between Indiana and Kentucky. A dashed line indicates the boundary separating the two states. The area is predominantly blue, suggesting a water body, with light green landmasses on either side of the border."
MGEval,16_240.jpg,56,3,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.002,0.955,0.0,0.0442,6.348,generic_no_feature_claim_needs_visual_review,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a section of a road network with two labeled roads: Rake Rd and Dow Knob Rd. Rake Rd runs horizontally, intersecting with Dow Knob Rd, which curves and runs vertically. The background is a light green, indicating a possible rural or undeveloped area. There are no additional geographic entities or landmarks visible."
MGEval,16_2568.jpg,43,1,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0415,0.9378,0.0,0.0016,5.262,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of a waterway labeled ""Curry Fork."" The waterway curves through the area, surrounded by a light green background, which typically represents land. There are no additional geographic entities or labels visible in this section of the map."
MGEval,16_2977.jpg,43,1,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0591,0.9128,0.0,0.0,5.725,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of a waterway labeled ""Floyds Fork."" The waterway is depicted in blue, winding through a light green area, which likely represents land. The map focuses on the course of the waterway without additional geographic features or labels."
MGEval,16_474.jpg,44,2,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.0104,0.9604,0.0,0.0226,5.847,generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.870,"The google map shows a light green area with a blue line running horizontally, indicating a waterway. Below the waterway, there is a gray line labeled ""Serenity Oaks Dr,"" representing a road. The map is simple, with no additional geographic entities or landmarks visible."
MGEval,16_74.jpg,42,2,no_direction_or_relation;generic_no_feature_claim,True,True,False,False,0.0334,0.9506,0.0,0.0,5.175,generic_no_feature_claim_needs_visual_review,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a section of a waterway labeled ""Silver Creek."" The creek flows in a generally curved path across a light green background, which likely represents land. There are no additional geographic entities or features labeled on this map segment."
MGEval,16_980.jpg,50,2,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.005,0.955,0.0,0.0459,6.702,generic_no_feature_claim_needs_visual_review,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows an intersection of two roads: Navilleton Road, which runs vertically, and Reasor Road, which runs horizontally. The surrounding area appears to be a light green, indicating open land or rural space. There are no additional geographic features or labels visible on this section of the map."
MGEval,16_1008.jpg,57,5,no_direction_or_relation,True,False,True,False,0.0052,0.0,0.0,0.9784,12.151,road_caption_lacks_relation,named_feature_present;green_signal_consistent,medium,0.870,"The google map shows a small area with several roads and a labeled location. ""Pleasantview Ct"" is a curved road connecting to ""Chapel Creek Trail,"" which runs vertically. Another road intersects these, leading to the ""Kingdom Hall of Jehovah's Witnesses,"" marked with an icon. The roads form a small network in a residential or community area."
MGEval,16_1200.jpg,65,1,generic_no_feature_claim,False,True,True,True,0.0028,0.0046,0.0,0.9889,7.327,green_mention_low_green_signal,named_feature_present;spatial_relation_present;water_signal_consistent,medium,0.920,"The google map shows a section of a road network. Jacobs Way runs horizontally across the map, intersecting with 5th Street, which runs vertically. There is a tree icon located near the bottom left, indicating a point of interest such as a park or forested area. The roads appear to be in a rural or suburban setting, with no additional geographic entities or labels visible."
MGEval,16_1284.jpg,61,3,no_direction_or_relation,True,True,True,False,0.0608,0.0659,0.0,0.8627,8.661,road_caption_lacks_relation,named_feature_present;water_signal_consistent,medium,0.870,"The google map shows a location labeled ""Cooper Lane Quarry"" with a nearby body of water to the northeast. Another location, ""Ernst Concrete,"" is situated to the southeast of the quarry. A linear feature, possibly a road or boundary, runs diagonally from the southwest to the northeast. The area surrounding these features is mostly light-colored, indicating open or undeveloped land."
MGEval,16_1359.jpg,49,2,no_direction_or_relation,True,True,True,False,0.0061,0.9485,0.0,0.0485,7.954,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a section of Bald Knob Road, which curves through the area. There is a location marked as ""Stark Properties"" along this road. The surrounding area is green, indicating vegetation or open land, and there is a small blue shape suggesting a body of water nearby."
MGEval,16_1783.jpg,50,1,no_direction_or_relation,True,True,True,False,0.0341,0.0162,0.0,0.9405,8.469,green_mention_low_green_signal;road_caption_lacks_relation,named_feature_present;water_signal_consistent,medium,0.690,"The google map shows a section of Lapping Park Disc Golf Course, located near Milner Way. A blue water feature is visible to the southwest of the course, indicating a body of water or stream. The map highlights the spatial relationship between the disc golf course and the nearby road."
MGEval,16_1874.jpg,61,3,no_direction_or_relation,True,True,True,False,0.0004,0.9623,0.0,0.0522,6.292,water_mention_low_blue_signal,named_feature_present;green_signal_consistent,medium,0.870,"The google map shows a network of roads labeled Doe Creek Dr and Doe Ridge Dr. Doe Creek Dr runs vertically and intersects with Doe Ridge Dr, which runs horizontally. There are several smaller roads branching off from these main roads, forming loops and cul-de-sacs. The background is a light green color, indicating a possible residential or rural area."
MGEval,16_198.jpg,59,5,no_direction_or_relation,False,True,True,False,0.0021,0.7374,0.0,0.265,6.84,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows two roads, Star Valley Way and Rake Rd, intersecting in a predominantly green area, which may indicate vegetation or parkland. The roads are depicted in gray, with Star Valley Way running vertically and Rake Rd intersecting it horizontally. The area below Rake Rd is a different color, suggesting a change in land use or terrain."
MGEval,16_2057.jpg,51,1,no_direction_or_relation,False,True,True,False,0.0027,0.2434,0.0,0.7561,9.101,road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a small residential area with several roads. Perrin Place and Perrin Circle are connected to Perrin, which curves through the area. Breeze Hill Road intersects with Perrin and curves around, connecting to Jones Trace. The area is surrounded by green space, indicating possible parks or undeveloped land."
MGEval,16_221.jpg,54,1,generic_no_feature_claim,False,True,True,True,0.0402,0.9041,0.0,0.052,8.285,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;spatial_relation_present;green_signal_consistent,medium,0.740,"The google map shows a section of a road labeled with the number 60 running vertically. To the right, there is another road labeled Bennettsville Rd, which intersects with the main road. The area surrounding the roads is shaded in green, indicating land or vegetation. There are no additional geographic features or labels visible."
MGEval,16_2319.jpg,59,2,no_direction_or_relation,False,True,True,False,0.0049,0.3264,0.0,0.6666,9.674,road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a small area with several roads. Lincoln Trail intersects with Commonwealth Drive. Heritage Court is a short road connecting to Lincoln Trail. R.P. Services is marked at the intersection of Commonwealth Drive and another unnamed road. The surrounding area appears to be lightly developed, with some green space indicating possible parks or undeveloped land."
MGEval,16_2358.jpg,44,3,no_direction_or_relation,False,True,True,False,0.0025,0.9194,0.0,0.0841,9.319,road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a section of a road network. Lawrence Banet Road runs horizontally and vertically, forming a curve. Masters Drive branches off Lawrence Banet Road, forming a loop. The area is surrounded by a green background, indicating open space or undeveloped land."
MGEval,16_2623.jpg,41,1,no_direction_or_relation,False,True,False,False,0.0027,0.9085,0.0,0.0916,6.572,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a location labeled ""CK Lawn & Landscaping."" The area surrounding this point is predominantly green, indicating a large expanse of land, possibly a park or forested area. There are no visible roads or other geographic entities marked nearby."
MGEval,16_2764.jpg,57,0,no_named_feature,False,False,True,True,0.0879,0.8344,0.0,0.0393,11.825,possible_water_omission;possible_green_omission,spatial_relation_present,medium,0.690,"The google map shows a section of Interstate 265, which runs vertically through the center. There are two parallel lanes indicating the highway. A hotel, Fairfield Inn & Suites Louisville, is marked to the northeast of the highway. There are some smaller roads visible in the top left corner. The map is oriented with north at the top."
MGEval,16_2838.jpg,55,2,no_direction_or_relation,True,True,True,False,0.0118,0.8801,0.0,0.1138,8.034,road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a road network with a labeled location, ""Wakefield Electric,"" situated at an intersection. The roads are marked, with one labeled as ""1408."" There are two small bodies of water visible, one near the intersection and another to the southwest. The surrounding area is depicted in green, indicating open or undeveloped land."
MGEval,16_3001.jpg,48,2,no_direction_or_relation,True,True,True,False,0.0087,0.908,0.0,0.0894,8.164,road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a location labeled ""Jacob Mark Kennels"" situated along Hannah Road. The road runs vertically through the map. There is a small body of water located to the southwest of the kennels. The surrounding area appears to be green, indicating a rural or undeveloped region."
MGEval,16_3012.jpg,40,2,no_direction_or_relation,False,True,True,False,0.0007,0.9534,0.0,0.0517,7.688,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows two roads: Dickson Dr NE and Pioneer Trail NE. Dickson Dr NE curves and intersects with Pioneer Trail NE, which runs vertically. The area surrounding the roads is shaded green, indicating a natural or undeveloped area."
MGEval,16_3078.jpg,42,3,no_direction_or_relation,True,True,True,False,0.8862,0.0856,0.0,0.0249,5.287,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a section of the Ohio River, which is depicted in blue. Adjacent to the river is a road labeled ""River Rd,"" running parallel to the riverbank. The area surrounding the road is shown in light green, indicating land."
MGEval,16_3150.jpg,54,2,generic_no_feature_claim,False,True,True,True,0.0476,0.9071,0.0,0.0316,8.384,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;spatial_relation_present;green_signal_consistent,medium,0.740,"The google map shows a section of a road labeled ""335"" running vertically. To the left of the road, there is a marker for ""Albertsons Mobile Mechanic."" The surrounding area is shaded in green, indicating a possible rural or undeveloped region. There are no additional geographic features or entities labeled on this map segment."
MGEval,16_3260.jpg,54,1,generic_no_feature_claim,False,True,False,True,0.0465,0.9294,0.0,0.0,5.639,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;spatial_relation_present;green_signal_consistent,medium,0.740,"The google map shows a section of a waterway labeled ""Floyds Fork."" The waterway runs vertically through the map, with a slight bend and branching towards the bottom right. The surrounding area is depicted in a light green color, indicating land. There are no additional geographic entities or labels visible on this map section."
MGEval,16_327.jpg,58,3,generic_no_feature_claim,False,False,True,True,0.0037,0.0,0.0,0.9861,8.855,,named_feature_present;spatial_relation_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a section of a road network. St John Road runs horizontally across the top of the map. Louis Smith Road intersects with St John Road and extends downward, splitting into two branches. The roads are depicted in a light gray color against a beige background. There are no additional geographic features or labels visible."
MGEval,16_3287.jpg,48,2,no_direction_or_relation,True,True,True,False,0.0236,0.8614,0.0,0.1078,9.581,road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a location labeled ""Mason's Blueberry Hill,"" which is marked as temporarily closed. It is situated along a road named Hannah Rd. There are small water bodies or streams visible nearby, and the surrounding area appears to be green, indicating vegetation or open land."
MGEval,16_3358.jpg,50,2,no_direction_or_relation,True,True,False,False,0.8215,0.1604,0.0,0.0047,6.047,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a section of the Ohio River, labeled in blue. Adjacent to the river is an area labeled ""River Side,"" which is marked with a tree icon, possibly indicating a park or recreational area. The map features a light green area representing land next to the river."
MGEval,16_344.jpg,51,2,no_direction_or_relation,True,True,True,False,0.0119,0.9278,0.0,0.0656,6.722,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a small area with a road labeled ""Ballou Rd"" that branches off into multiple directions. There is a small blue body of water located near the center of the map, surrounded by green areas indicating land. The roads and water body are the primary geographic entities visible."
MGEval,16_353.jpg,46,3,no_direction_or_relation,True,True,True,False,0.0057,0.7278,0.0,0.2702,8.102,road_caption_lacks_relation,named_feature_present;green_signal_consistent,medium,0.870,"The google map shows a section of a road labeled ""Sterling Oaks Dr"" forming a loop. There is a small body of water to the southwest. The area is predominantly green, indicating open or undeveloped land. A location marked ""Turnkey Builders"" is situated near the road."
MGEval,16_366.jpg,47,4,no_direction_or_relation,False,True,True,False,0.0,0.4824,0.0,0.5261,6.475,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a residential area with two labeled streets: Kamer Ct and Covington Dr. The streets form a network with Covington Dr being the main road, and Kamer Ct branching off from it. The surrounding area is shaded in green, indicating open or undeveloped land."
MGEval,16_454.jpg,57,4,no_direction_or_relation,True,True,True,False,0.0085,0.8896,0.0,0.1024,11.85,road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows two parallel roads: Grant Line Rd and Old Indiana 111/Old Hwy 111. There is a business labeled ""Lewis Plumbing"" located near Grant Line Rd. The area appears to be predominantly green, indicating open space or vegetation. A small blue feature, possibly a pond or water body, is situated near Grant Line Rd."
MGEval,16_458.jpg,70,1,no_direction_or_relation,True,True,False,False,0.0296,0.9297,0.0,0.0422,8.911,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a location labeled ""Mama Lloyd's Boutique & Designs"" situated along Elk Run Trail. The area is surrounded by a light green background, indicating a natural or rural setting. A blue icon marks the boutique's location, and a blue line, possibly representing a river or stream, is visible to the southeast of the boutique. The map includes a few roads or paths, depicted as gray lines."
MGEval,16_639.jpg,64,2,no_direction_or_relation,True,True,True,False,0.0716,0.3624,0.0,0.555,11.864,road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.870,"The google map shows a location labeled ""Meyer Meadows New Homes in Sellersburg"" near Jacob Court. A major road, marked as Route 60, runs diagonally across the map. There is a green area indicating open space or parkland to the southwest of Route 60. A small blue area, possibly a body of water, is located to the northeast. The map includes several intersecting streets."
MGEval,16_673.jpg,38,2,no_direction_or_relation,False,True,False,False,0.0191,0.9579,0.0,0.0017,5.916,,named_feature_present;green_signal_consistent,low,1.000,"The google map shows a light green area with a blue line labeled ""Campbell Branch,"" indicating a waterway. The waterway runs vertically and branches off into smaller streams. The surrounding area is not detailed with additional geographic entities."
MGEval,16_72.jpg,42,2,no_direction_or_relation,True,True,False,False,0.0289,0.9594,0.0,0.0001,5.057,,named_feature_present;water_signal_consistent;green_signal_consistent,low,1.000,"The google map shows a section of a waterway labeled ""Silver Creek."" The creek runs vertically through the center of the map. The surrounding area is shaded in light green, indicating land. The map does not display additional geographic entities or features."
MGEval,16_796.jpg,60,2,no_direction_or_relation,True,False,True,False,0.0054,0.0,0.0,0.9857,10.361,road_caption_lacks_relation,named_feature_present;green_signal_consistent,medium,0.870,"The google map shows a section of a road network. ""River Ridge Pkwy"" is a prominent road running diagonally across the map. Near this road, there is a location marked as ""Kenco warehouse."" The map includes several other roads and pathways, with some intersecting lines indicating additional routes or boundaries. The layout suggests an area with industrial or commercial facilities."
MGEval,16_808.jpg,46,1,no_direction_or_relation,False,True,False,False,0.0306,0.9318,0.0,0.0355,6.637,possible_water_omission,named_feature_present;green_signal_consistent,medium,0.870,"The google map shows a location labeled ""Rivercrest Farm,"" which is marked as temporarily closed. The farm is indicated by a pin on a light blue shape, possibly representing a building or area. The surrounding area is depicted in light green, suggesting open land or fields."
