Source model,Mode,Prompt,One-pass score,Final iteration,Final score,Passed,Complete,Failed checks
deepseek-coder_6.7b,basic,C001_static_burned_area,0.500,3,0.750,3/4,False,execution_success
deepseek-coder_6.7b,basic,C002_static_number_fires,0.500,2,1.000,4/4,True,
deepseek-coder_6.7b,basic,C004_missing_crs_repair,0.571,3,0.857,6/7,False,execution_success
deepseek-coder_6.7b,basic,C006_join_diagnostics,0.500,3,0.833,5/6,False,static_png
deepseek-coder_6.7b,basic,C007_wrong_column_guard,0.600,2,1.000,5/5,True,
deepseek-coder_6.7b,basic,C008_quantile_classes,0.400,3,0.600,3/5,False,"execution_success, diagnostic_json"
deepseek-coder_6.7b,basic,C009_colorblind_safe,0.500,2,1.000,6/6,True,
deepseek-coder_6.7b,basic,C010_interactive_tooltips,0.500,3,0.500,2/4,False,"execution_success, interactive_html"
deepseek-coder_6.7b,rules,C002_static_number_fires,0.500,2,1.000,4/4,True,
deepseek-coder_6.7b,rules,C003_static_full_layout,0.833,3,0.833,5/6,False,static_png
deepseek-coder_6.7b,rules,C004_missing_crs_repair,0.571,1,1.000,7/7,True,
deepseek-coder_6.7b,rules,C005_geometry_repair,0.714,1,1.000,7/7,True,
deepseek-coder_6.7b,rules,C006_join_diagnostics,0.500,3,0.667,4/6,False,"execution_success, static_png"
deepseek-coder_6.7b,rules,C008_quantile_classes,0.400,3,0.400,2/5,False,"execution_success, static_png, diagnostic_json"
deepseek-coder_6.7b,rules,C009_colorblind_safe,0.500,1,1.000,6/6,True,
deepseek-coder_6.7b,rules,C010_interactive_tooltips,0.500,2,1.000,4/4,True,
deepseek-coder_6.7b,rules,C011_static_and_interactive,0.333,3,1.000,6/6,True,
deepseek-coder_6.7b,rules,C012_time_series_report,0.400,3,1.000,5/5,True,
qwen2.5-coder_7b,basic,C001_static_burned_area,0.500,2,1.000,4/4,True,
qwen2.5-coder_7b,basic,C003_static_full_layout,0.500,3,0.500,3/6,False,"execution_success, static_png, diagnostic_json"
qwen2.5-coder_7b,basic,C004_missing_crs_repair,0.571,1,1.000,7/7,True,
qwen2.5-coder_7b,basic,C005_geometry_repair,0.571,1,1.000,7/7,True,
qwen2.5-coder_7b,basic,C006_join_diagnostics,0.500,3,0.500,3/6,False,"execution_success, static_png, diagnostic_json"
qwen2.5-coder_7b,basic,C007_wrong_column_guard,0.600,2,1.000,5/5,True,
qwen2.5-coder_7b,basic,C008_quantile_classes,0.400,1,1.000,5/5,True,
qwen2.5-coder_7b,basic,C009_colorblind_safe,0.500,2,1.000,6/6,True,
qwen2.5-coder_7b,basic,C010_interactive_tooltips,0.500,1,1.000,4/4,True,
qwen2.5-coder_7b,basic,C011_static_and_interactive,0.333,3,0.500,3/6,False,"execution_success, static_png, interactive_html"
qwen2.5-coder_7b,basic,C012_time_series_report,0.400,1,1.000,5/5,True,
qwen2.5-coder_7b,rules,C001_static_burned_area,0.500,1,1.000,4/4,True,
qwen2.5-coder_7b,rules,C002_static_number_fires,0.500,3,0.500,2/4,False,"execution_success, static_png"
qwen2.5-coder_7b,rules,C004_missing_crs_repair,0.571,3,1.000,7/7,True,
qwen2.5-coder_7b,rules,C005_geometry_repair,0.571,2,1.000,7/7,True,
qwen2.5-coder_7b,rules,C006_join_diagnostics,0.500,3,0.667,4/6,False,"execution_success, static_png"
qwen2.5-coder_7b,rules,C007_wrong_column_guard,0.600,3,0.800,4/5,False,execution_success
qwen2.5-coder_7b,rules,C008_quantile_classes,0.400,1,1.000,5/5,True,
qwen2.5-coder_7b,rules,C009_colorblind_safe,0.500,2,1.000,6/6,True,
qwen2.5-coder_7b,rules,C010_interactive_tooltips,0.500,3,1.000,4/4,True,
qwen2.5-coder_7b,rules,C011_static_and_interactive,0.333,3,0.333,2/6,False,"execution_success, static_png, interactive_html, diagnostic_json"
qwen2.5-coder_7b,rules,C012_time_series_report,0.400,2,1.000,5/5,True,
